src,dst,weight
World Trade Center,Bloomingdale,29
Upper West Side North,Midtown South,29
Garment District,Stuy Town/Peter Cooper Village,28
Midtown North,Yorkville East,28
Washington Heights South,Hudson Sq,27
Midtown South,Financial District North,27
Penn Station/Madison Sq West,Manhattan Valley,27
Times Sq/Theatre District,Greenwich Village North,27
Alphabet City,East Chelsea,26
Financial District North,Manhattan Valley,26
Meatpacking/West Village West,Two Bridges/Seward Park,26
Union Sq,Clinton East,26
Yorkville West,Midtown Center,26
Union Sq,Lenox Hill West,25
Astoria,West Chelsea/Hudson Yards,25
LaGuardia Airport,Flatiron,25
Battery Park,Clinton East,25
Greenwich Village North,Lincoln Square East,25
Lower East Side,Union Sq,24
SoHo,Greenwich Village South,24
Bushwick South,Meatpacking/West Village West,24
Clinton East,Battery Park,24
Battery Park,Midtown East,24
Central Harlem,Union Sq,24
Lower East Side,LaGuardia Airport,24
Newark Airport,Upper West Side North,24
Hudson Sq,Upper East Side North,24
Midtown South,Gramercy,24
Bloomingdale,Yorkville West,24
Clinton East,Central Harlem,24
Central Harlem,World Trade Center,24
Lower East Side,East Village,24
Lower East Side,Bloomingdale,24
West Chelsea/Hudson Yards,Midtown South,24
Bloomingdale,Alphabet City,24
Financial District North,Clinton West,24
Clinton East,Lenox Hill East,24
East Chelsea,JFK Airport,24
Times Sq/Theatre District,Battery Park City,24
Sutton Place/Turtle Bay North,Alphabet City,24
Washington Heights North,Brooklyn Heights,24
UN/Turtle Bay South,Greenwich Village North,24
Seaport,Battery Park City,23
Financial District South,Union Sq,23
Flatiron,Meatpacking/West Village West,23
Lower East Side,Upper East Side North,23
Battery Park City,Penn Station/Madison Sq West,23
Battery Park City,Financial District South,23
Flatiron,Bedford,23
Bloomingdale,World Trade Center,23
Upper East Side South,Greenwich Village South,23
Times Sq/Theatre District,Brooklyn Heights,23
World Trade Center,Bushwick South,23
Bushwick South,Seaport,23
West Chelsea/Hudson Yards,Washington Heights North,23
Battery Park,Alphabet City,23
Greenwich Village North,JFK Airport,23
Lincoln Square West,Yorkville East,23
Battery Park,LaGuardia Airport,23
Upper East Side North,Central Park,23
Alphabet City,West Chelsea/Hudson Yards,23
East Village,Midtown East,23
Newark Airport,Lenox Hill West,23
Midtown South,Upper East Side South,23
World Trade Center,Upper West Side South,23
Lenox Hill East,Alphabet City,23
Bushwick South,West Village,23
Union Sq,Seaport,23
Greenwich Village North,Clinton West,23
Flatiron,Alphabet City,23
Greenwich Village North,Astoria,23
Bushwick South,Midtown Center,23
Central Harlem,Astoria,23
Newark Airport,UN/Turtle Bay South,23
Lenox Hill East,Washington Heights North,23
Astoria,Midtown East,23
East Village,Midtown North,23
Financial District South,Upper East Side North,23
Greenwich Village North,Bushwick South,23
Lenox Hill East,Astoria,23
Financial District North,JFK Airport,23
Alphabet City,Penn Station/Madison Sq West,23
Brooklyn Heights,Alphabet City,23
Meatpacking/West Village West,Seaport,23
Washington Heights South,Lower East Side,22
Financial District South,Yorkville West,22
Yorkville East,UN/Turtle Bay South,22
SoHo,Financial District South,22
Midtown East,East Chelsea,22
Manhattan Valley,Battery Park,22
Stuy Town/Peter Cooper Village,Central Harlem,22
Lincoln Square East,Lincoln Square West,22
Bloomingdale,East Chelsea,22
Penn Station/Madison Sq West,UN/Turtle Bay South,22
Battery Park,Lincoln Square West,22
Clinton East,Gramercy,22
Manhattan Valley,Washington Heights North,22
Astoria,Central Harlem,22
Bushwick South,Murray Hill,22
Penn Station/Madison Sq West,Bloomingdale,22
Upper East Side North,Financial District North,22
Flatiron,Upper East Side South,22
Meatpacking/West Village West,Greenwich Village North,22
Gramercy,Greenwich Village North,22
Lower East Side,UN/Turtle Bay South,22
Clinton East,Yorkville East,22
Upper West Side North,Alphabet City,22
Midtown Center,Lincoln Square West,22
Financial District North,Bloomingdale,22
Hudson Sq,Sutton Place/Turtle Bay North,22
Gramercy,Midtown East,22
JFK Airport,Flatiron,22
TriBeCa/Civic Center,Upper East Side North,22
LaGuardia Airport,East Chelsea,22
Gramercy,Lincoln Square East,22
Manhattan Valley,SoHo,22
Brooklyn Heights,Upper West Side South,22
Bloomingdale,West Chelsea/Hudson Yards,22
Washington Heights North,Financial District North,22
Bloomingdale,Lenox Hill West,22
Bedford,Manhattan Valley,22
Central Harlem,TriBeCa/Civic Center,22
Washington Heights North,Flatiron,22
Seaport,Financial District South,22
Two Bridges/Seward Park,UN/Turtle Bay South,22
West Village,Manhattan Valley,22
Meatpacking/West Village West,Astoria,22
Central Harlem,SoHo,22
Bloomingdale,Bedford,22
World Trade Center,Clinton West,22
Greenwich Village North,LaGuardia Airport,22
Yorkville West,East Chelsea,22
Central Park,Midtown East,22
Midtown Center,Yorkville East,22
Bloomingdale,Gramercy,22
Gramercy,UN/Turtle Bay South,22
Battery Park City,Lincoln Square East,22
Lower East Side,TriBeCa/Civic Center,22
World Trade Center,Gramercy,22
East Chelsea,Bloomingdale,22
Bushwick South,Midtown North,22
